Gene_ID	Control_1	Control_2	Control_3	Control_4	PDX_1	PDX_2	PDX_3	PDX_4
ENSMUSG00000000901	0.600678	0.633547	1.498793	1.160167	1.165687	0.978954	1.166515	1.004714
ENSMUSG00000000902	4.781649	5.625328	6.077378	5.842522	4.336745	2.987316	4.503254	3.411770
ENSMUSG00000000903	0.0	0.000000	0.000000	0.0	0.0	0.0	0.113568	0.000000
ENSMUSG00000000915	1.375130	1.140592	1.359982	1.266269	1.418247	1.307350	1.470046	1.055103
ENSMUSG00000000916	2.023890	2.429491	2.134620	3.024921	1.910635	2.103713	2.737726	1.759948
ENSMUSG00000000934	4.231197	3.750598	4.480474	4.863165	4.866180	4.119415	3.916537	3.993666
ENSMUSG00000000938	4.463856	7.979027	7.424055	7.697186	5.949208	6.400613	6.225009	7.436794
ENSMUSG00000000942	1.344354	1.286705	0.831573	1.170718	0.978894	1.932811	1.139060	0.802636
ENSMUSG00000000948	0.944983	0.709219	0.634737	0.904866	0.613965	1.066473	0.862780	1.070096
ENSMUSG00000000957	4.105982	4.164218	4.824672	5.428326	3.671671	2.435028	3.826013	2.005727
ENSMUSG00000000958	0.573610	0.221814	0.503222	0.301371	0.680538	0.663975	0.683634	0.330161
ENSMUSG00000000959	11.230003	13.140718	13.053504	12.647533	12.651297	12.152838	11.344052	12.479813
ENSMUSG00000000976	3.123908	3.222397	3.075061	3.694963	2.937048	2.913062	3.477059	3.420307
ENSMUSG00000000982	0.0	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0
ENSMUSG00000000983	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0
ENSMUSG00000001014	0.000000	0.311097	0.079667	0.444582	0.236764	0.000000	0.000000	0.168528
ENSMUSG00000001016	9.789958	9.640290	10.241359	9.857273	8.512187	9.495468	10.404794	10.957403
ENSMUSG00000001017	21.571808	24.511297	23.601551	23.862938	25.397858	21.048304	37.042198	28.415142
ENSMUSG00000001018	21.074451	22.590919	20.222162	21.688492	21.052494	24.366108	23.867931	23.257973
ENSMUSG00000001020	20.340181	8.244928	15.106104	10.389549	7.266566	7.172325	5.260318	5.663212
ENSMUSG00000001021	3.295196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026302
ENSMUSG00000001023	0.0	0.0	0.186171	0.000000	0.0	0.0	0.000000	0.0
ENSMUSG00000001025	29.882898	23.176014	25.687536	29.938896	16.354021	16.153385	23.970201	20.393093
ENSMUSG00000001027	120.797119	124.659409	131.192642	115.391899	134.073563	113.975929	126.203941	103.494347
ENSMUSG00000001029	2.199357	3.582681	2.010335	3.046462	2.410738	3.492021	3.151308	2.766798
ENSMUSG00000001034	0.679765	1.337131	0.993385	1.146694	0.981315	0.757462	1.048474	0.869962
ENSMUSG00000001036	7.409772	7.753829	8.046581	8.407105	6.903426	7.963095	8.081147	6.508972
ENSMUSG00000001039	1.763291	1.534617	1.496935	1.221605	1.068607	2.117205	0.999637	1.491000
ENSMUSG00000001052	5.877105	5.698268	5.633324	5.505521	5.426856	5.430048	5.573616	5.106184
ENSMUSG00000001053	1.031017	1.199747	0.561844	1.240907	1.027295	0.705698	1.395439	0.518142
ENSMUSG00000001054	3.199965	4.046202	3.606524	3.792276	3.209696	3.579770	3.234993	2.994967
ENSMUSG00000001056	5.567769	6.359051	5.954159	6.166160	6.479932	7.896084	5.852396	5.033062
ENSMUSG00000001062	3.480635	3.947357	3.690124	3.457823	3.855674	3.998769	4.680616	4.204698
ENSMUSG00000001065	2.853855	2.583786	2.410949	2.296740	1.661683	1.584351	1.936055	3.054303
ENSMUSG00000001076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001082	2.826968	1.279459	1.397376	1.507187	1.428181	1.421386	1.182705	1.944233
ENSMUSG00000001089	3.992553	4.344773	3.803049	4.571979	3.102118	2.618698	2.824750	3.065349
ENSMUSG00000001095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000001098	5.082582	5.906452	5.488236	5.724395	3.685424	4.273072	5.081309	4.625133
ENSMUSG00000001100	27.566732	31.923862	33.058537	30.138302	31.331224	32.073597	30.614056	33.372826
ENSMUSG00000001103	0.0	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0
ENSMUSG00000001105	8.079454	5.909193	7.499796	8.816892	6.557172	6.394891	7.329981	6.455030
ENSMUSG00000001119	28.741991	21.572445	20.875198	26.766457	9.162045	9.764762	11.347044	7.339698
ENSMUSG00000001120	0.580536	0.816390	0.631712	0.430290	0.483124	0.544504	0.614143	0.491764
ENSMUSG00000001123	4.979110	7.122013	5.438960	5.617960	4.772461	3.266240	5.408179	2.879798
